Date,Time,TargetTemp,ActualTemp,System,SystemAge,BuildingID,10
6/1/13,0:00:01,66.0,58,13,20.0,4,
6/2/13,1:00:01,,68,3,20.0,17,
6/3/13,2:00:01,70.0,73,17,20.0,18,
6/4/13,3:00:01,67.0,63,2,,15,
6/5/13,4:00:01,68.0,74,16,9.0,3,
6/6/13,5:00:01,67.0,56,13,28.0,4,
6/7/13,6:00:01,70.0,58,12,24.0,2,
6/8/13,7:00:01,,73,20,26.0,16,
6/9/13,8:00:01,66.0,69,16,9.0,9,
6/10/13,9:00:01,65.0,57,6,5.0,12,
6/11/13,10:00:01,67.0,70,10,17.0,15,
6/12/13,11:00:01,69.0,62,2,11.0,7,
6/13/13,12:00:01,69.0,73,14,2.0,15,
6/14/13,13:00:01,65.0,61,3,2.0,6,
6/15/13,14:00:01,67.0,59,19,22.0,20,
6/16/13,15:00:01,65.0,56,19,11.0,8,
6/17/13,16:00:01,67.0,57,15,7.0,6,
6/18/13,17:00:01,66.0,57,12,5.0,13,
6/19/13,18:00:01,69.0,58,8,22.0,4,
6/20/13,19:00:01,67.0,55,17,,7,
6/21/13,20:00:01,69.0,72,7,5.0,17,
6/22/13,21:00:01,66.0,69,6,29.0,9,
6/23/13,22:00:01,67.0,65,6,18.0,20,
6/24/13,23:00:01,,61,15,13.0,6,
6/25/13,0:13:19,70.0,71,19,14.0,18,
6/26/13,1:13:19,67.0,71,1,6.0,8,
6/27/13,2:13:19,69.0,68,16,14.0,14,
6/28/13,3:13:19,65.0,56,8,18.0,15,
6/29/13,4:13:19,66.0,77,7,6.0,13,
6/30/13,5:13:19,70.0,63,7,13.0,5,
6/1/13,6:13:19,68.0,66,11,15.0,3,
6/2/13,7:13:19,69.0,60,14,1.0,18,
6/3/13,8:13:19,,65,14,18.0,11,
6/4/13,9:13:19,67.0,69,1,5.0,9,
6/5/13,10:13:19,70.0,78,5,5.0,10,
6/6/13,11:13:19,67.0,72,16,8.0,19,
6/7/13,12:13:19,67.0,73,17,30.0,2,
6/8/13,13:13:19,65.0,75,4,13.0,10,
6/9/13,14:13:19,67.0,68,2,17.0,2,
6/10/13,15:13:19,,77,15,17.0,6,
6/11/13,16:13:19,66.0,67,16,24.0,3,
6/12/13,17:13:19,69.0,64,18,25.0,2,
6/13/13,18:13:19,67.0,68,2,14.0,1,
6/14/13,19:13:19,,75,9,22.0,5,
6/15/13,20:13:19,69.0,58,9,6.0,4,
6/16/13,21:13:19,69.0,77,19,20.0,9,
6/17/13,22:13:19,67.0,73,2,4.0,2,
6/18/13,23:13:19,66.0,75,1,13.0,12,
6/19/13,0:43:51,70.0,65,11,9.0,5,
6/20/13,1:43:51,69.0,65,7,30.0,2,
6/21/13,2:43:51,66.0,56,16,28.0,14,
6/22/13,3:43:51,69.0,67,3,,9,
6/23/13,4:43:51,70.0,68,2,12.0,6,
6/24/13,5:43:51,70.0,63,15,30.0,20,
6/25/13,6:43:51,65.0,63,11,13.0,17,
6/26/13,7:43:51,67.0,78,13,22.0,18,
6/27/13,8:43:51,68.0,61,15,28.0,7,
6/28/13,9:43:51,66.0,65,4,24.0,2,
6/29/13,10:43:51,69.0,59,17,25.0,9,
6/30/13,11:43:51,68.0,67,8,17.0,6,
6/1/13,12:43:51,69.0,79,6,15.0,7,
6/2/13,13:43:51,65.0,72,20,26.0,12,
6/3/13,14:43:51,65.0,57,3,24.0,18,
6/4/13,15:43:51,66.0,56,20,25.0,6,
6/5/13,16:43:51,65.0,71,2,14.0,9,
6/6/13,17:43:51,67.0,79,1,9.0,10,
6/7/13,18:43:51,67.0,72,13,29.0,15,
6/8/13,19:43:51,,76,11,25.0,11,
6/9/13,20:43:51,65.0,67,6,21.0,16,
6/10/13,21:43:51,67.0,74,3,19.0,14,
6/11/13,22:43:51,68.0,76,9,28.0,2,
6/12/13,23:43:51,68.0,69,7,26.0,20,
6/13/13,0:13:20,67.0,77,8,19.0,12,
6/14/13,1:13:20,70.0,68,6,1.0,1,
6/15/13,2:13:20,70.0,57,7,,6,
6/16/13,3:13:20,67.0,55,11,16.0,12,
6/17/13,4:13:20,70.0,55,17,17.0,19,
6/18/13,5:13:20,70.0,58,6,17.0,19,
6/19/13,6:13:20,69.0,75,9,21.0,6,
6/20/13,7:13:20,69.0,75,13,14.0,16,
6/21/13,8:13:20,69.0,55,1,8.0,14,
6/22/13,9:13:20,65.0,68,15,20.0,3,
6/23/13,10:13:20,65.0,63,5,22.0,19,
6/24/13,11:13:20,65.0,65,19,24.0,2,
6/25/13,12:13:20,68.0,55,14,5.0,20,
6/26/13,13:13:20,68.0,67,18,28.0,9,
6/27/13,14:13:20,66.0,75,4,30.0,14,
6/28/13,15:13:20,65.0,62,8,23.0,17,
6/29/13,16:13:20,70.0,77,7,24.0,2,
6/30/13,17:13:20,65.0,57,17,9.0,12,
6/1/13,18:13:20,68.0,65,7,21.0,12,
6/2/13,19:13:20,,72,4,1.0,13,
6/3/13,20:13:20,66.0,67,18,20.0,6,
6/4/13,21:13:20,68.0,65,4,21.0,15,
6/5/13,22:13:20,67.0,73,18,19.0,7,
6/6/13,23:13:20,70.0,70,13,3.0,5,
6/7/13,0:33:07,68.0,72,18,8.0,1,
6/8/13,1:33:07,70.0,80,16,24.0,9,
6/9/13,2:33:07,,76,16,,9,
6/10/13,3:33:07,69.0,79,10,29.0,15,
6/11/13,4:33:07,66.0,70,18,18.0,11,
6/12/13,5:33:07,65.0,70,17,6.0,6,
6/13/13,6:33:07,66.0,78,9,11.0,7,
6/14/13,7:33:07,65.0,60,13,21.0,16,
6/15/13,8:33:07,68.0,65,10,20.0,10,
6/16/13,9:33:07,69.0,79,7,8.0,13,
6/17/13,10:33:07,68.0,65,4,25.0,16,
6/18/13,11:33:07,69.0,64,1,9.0,13,
6/19/13,12:33:07,69.0,55,7,,10,
6/20/13,13:33:07,67.0,59,2,15.0,3,
6/21/13,14:33:07,70.0,64,8,17.0,3,
6/22/13,15:33:07,67.0,76,6,9.0,11,
6/23/13,16:33:07,70.0,68,7,1.0,16,
6/24/13,17:33:07,70.0,80,6,28.0,17,
6/25/13,18:33:07,70.0,66,20,20.0,12,
6/26/13,19:33:07,68.0,68,11,12.0,19,
6/27/13,20:33:07,65.0,80,5,4.0,9,
6/28/13,21:33:07,,79,4,21.0,14,
6/29/13,22:33:07,70.0,64,6,12.0,6,
6/30/13,23:33:07,69.0,60,10,9.0,2,
6/1/13,0:00:01,,60,5,8.0,7,
6/2/13,1:00:01,67.0,74,3,10.0,16,
6/3/13,2:00:01,,80,4,13.0,15,
6/4/13,3:00:01,69.0,71,13,28.0,7,
6/5/13,4:00:01,70.0,68,2,26.0,3,
6/6/13,5:00:01,68.0,59,15,8.0,11,
6/7/13,6:00:01,70.0,63,3,27.0,13,
6/8/13,7:00:01,67.0,78,17,6.0,19,
6/9/13,8:00:01,66.0,67,12,17.0,4,
6/10/13,9:00:01,67.0,67,2,8.0,17,
6/11/13,10:00:01,69.0,60,11,29.0,4,
6/12/13,11:00:01,70.0,63,14,,7,
6/13/13,12:00:01,70.0,60,19,16.0,6,
6/14/13,13:00:01,69.0,78,6,26.0,2,
6/15/13,14:00:01,65.0,71,7,4.0,6,
6/16/13,15:00:01,70.0,55,18,,14,
6/17/13,16:00:01,,68,16,4.0,12,
6/18/13,17:00:01,68.0,61,10,25.0,1,
6/19/13,18:00:01,65.0,57,20,5.0,10,
6/20/13,19:00:01,66.0,67,1,10.0,15,
6/21/13,20:00:01,67.0,72,14,29.0,9,
6/22/13,21:00:01,69.0,70,9,7.0,4,
6/23/13,22:00:01,68.0,59,17,24.0,17,
6/24/13,23:00:01,66.0,76,15,,19,
6/25/13,0:13:19,69.0,66,4,13.0,9,
6/26/13,1:13:19,69.0,59,7,15.0,2,
6/27/13,2:13:19,70.0,67,9,8.0,17,
6/28/13,3:13:19,,59,20,27.0,20,
6/29/13,4:13:19,65.0,70,13,5.0,20,
6/30/13,5:13:19,67.0,61,10,20.0,9,
6/1/13,6:13:19,69.0,64,9,28.0,7,
6/2/13,7:13:19,,71,15,2.0,7,
6/3/13,8:13:19,70.0,61,4,5.0,20,
6/4/13,9:13:19,65.0,56,1,6.0,5,
6/5/13,10:13:19,,77,20,15.0,19,
6/6/13,11:13:19,65.0,66,8,20.0,18,
6/7/13,12:13:19,67.0,60,20,10.0,4,
6/8/13,13:13:19,,67,7,18.0,17,
6/9/13,14:13:19,68.0,80,5,9.0,7,
6/10/13,15:13:19,68.0,57,2,1.0,17,
6/11/13,16:13:19,67.0,59,19,29.0,3,
6/12/13,17:13:19,67.0,65,20,9.0,1,
6/13/13,18:13:19,69.0,77,1,18.0,4,
6/14/13,19:13:19,69.0,56,3,,7,
6/15/13,20:13:19,67.0,66,8,18.0,1,
6/16/13,21:13:19,69.0,64,20,27.0,5,
6/17/13,22:13:19,,77,14,16.0,1,
6/18/13,23:13:19,66.0,68,20,30.0,1,
6/19/13,0:43:51,70.0,66,16,10.0,2,
6/20/13,1:43:51,68.0,60,16,24.0,11,
6/21/13,2:43:51,65.0,66,16,25.0,16,
6/22/13,3:43:51,67.0,79,18,13.0,17,
6/23/13,4:43:51,68.0,63,2,10.0,19,
6/24/13,5:43:51,66.0,63,14,22.0,8,
6/25/13,6:43:51,67.0,78,5,12.0,16,
6/26/13,7:43:51,67.0,78,17,15.0,4,
6/27/13,8:43:51,66.0,59,20,19.0,17,
6/28/13,9:43:51,69.0,63,2,25.0,11,
6/29/13,10:43:51,67.0,61,3,19.0,6,
6/30/13,11:43:51,70.0,67,2,27.0,20,
6/1/13,12:43:51,70.0,59,9,12.0,3,
6/2/13,13:43:51,,76,5,21.0,19,
6/3/13,14:43:51,70.0,71,19,27.0,11,
6/4/13,15:43:51,69.0,78,15,16.0,20,
6/5/13,16:43:51,69.0,69,19,15.0,12,
6/6/13,17:43:51,67.0,71,9,2.0,20,
6/7/13,18:43:51,65.0,71,18,,18,
6/8/13,19:43:51,70.0,71,19,15.0,20,
6/9/13,20:43:51,,57,14,15.0,1,
6/10/13,21:43:51,69.0,80,15,16.0,10,
6/11/13,22:43:51,65.0,78,8,2.0,9,
6/12/13,23:43:51,70.0,66,16,2.0,5,
6/13/13,0:13:20,65.0,77,1,9.0,9,
6/14/13,1:13:20,69.0,67,19,26.0,15,
6/15/13,2:13:20,69.0,58,6,,16,
6/16/13,3:13:20,69.0,80,17,22.0,5,
6/17/13,4:13:20,66.0,60,13,1.0,2,
6/18/13,5:13:20,66.0,55,19,10.0,6,
6/19/13,6:13:20,69.0,74,19,18.0,10,
6/20/13,7:13:20,65.0,64,2,10.0,14,
6/21/13,8:13:20,70.0,62,19,26.0,14,
6/22/13,9:13:20,70.0,77,13,17.0,6,
6/23/13,10:13:20,65.0,61,1,1.0,12,
6/24/13,11:13:20,69.0,60,1,12.0,5,
6/25/13,12:13:20,69.0,62,1,3.0,1,
